address,balance
0xf774da4418c6dca3051f0e7570829b24214e730b,189000.48945053
0x90a9e09501b70570f9b11df2a6d4f047f8630d6d,188297.68427569
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,187068.19559
0xb8808f9e9b88497ec522304055cd537a0913f6a0,185852.59372197
0xa160cdab225685da1d56aa342ad8841c3b53f291,185400
0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,181853.24468612
0xd69b0089d9ca950640f5dc9931a41a5965f00303,177500.0481664
0x36a85757645e8e8aec062a1dee289c7d615901ca,177328.30765968
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,172038.06719675
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,170034.34311324
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031.99351958
0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,163400
0xcdbf58a9a9b54a2c43800c50c7192946de858321,161300.09703
0x3ba25081d3935fcc6788e6220abcace39d58d95d,157738.10587866
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000.1
0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000.001
0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,150000.001
0x367989c660881e1ca693730f7126fe0ffc0963fb,150000.001
0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7,150000
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,150000
0xb20411c403687d1036e05c8a7310a0f218429503,150000
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,150000
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,150000
0x701c484bfb40ac628afa487b6082f084b14af0bd,150000
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000
0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000
0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,150000
0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000
0x77afe94859163abf0b90725d69e904ea91446c7b,150000
0x19d599012788b991ff542f31208bab21ea38403e,150000
0xca582d9655a50e6512045740deb0de3a7ee5281f,150000
0xd05e6bf1a00b5b4c9df909309f19e29af792422b,150000
0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000
0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000
0x7ae92148e79d60a0749fd6de374c8e81dfddf792,150000
0x554f4476825293d4ad20e02b54aca13956acc40a,150000
0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,150000
0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,150000
0x091933ee1088cdf5daace8baec0997a4e93f0dd6,150000
0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,150000
0x8b83b9c4683aa4ec897c569010f09c6d04608163,150000
0x550cd530bc893fc6d2b4df6bea587f17142ab64e,150000
0x828103b231b39fffce028562412b3c04a4640e64,150000
0xe35b0ef92452c353dbb93775e0df97cedf873c72,150000
0x0518f5bb058f6215a0ff5f4df54dae832d734e04,150000
0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,150000
0x0ff64c53d295533a37f913bb78be9e2adc78f5fe,150000
0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,150000
0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b,150000
0x7145cfedcf479bede20c0a4ba1868c93507d5786,150000
0x2fa9f9efc767650aace0422668444c3ff63e1f8d,148531.71231403
0xd57479b8287666b44978255f1677e412d454d4f0,147699.4245034
0xc6dcb7ac175636cbc3d5f32c68865c24ca7d74d4,146193.13594694
0x4baf012726cb5ec7dda57bc2770798a38100c44d,145000.09839497
0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,144355.90652977
