rank_,d2019_01_31,d2019_02_28,d2019_03_31,d2019_04_30,d2019_05_31,d2019_06_30,d2019_07_31,d2019_08_31,d2019_09_30,d2019_10_31,d2019_11_30,d2019_12_31,d2020_01_31,d2020_02_29,d2020_03_31,d2020_04_30,d2020_05_31,d2020_06_30,d2020_07_31,d2020_08_31,d2020_09_30,d2020_10_31,d2020_11_30,d2020_12_31,d2021_01_31,d2021_02_28,d2021_03_31,d2021_04_30,d2021_05_31,d2021_06_30,d2021_07_31,d2021_08_31,d2021_09_30,d2021_10_31
23,40000.32769985,36000.00173313,38089.68174413,38089.68174413,37180.88883055,40000.32709848,30427.40774244,29537.47838206,28151.05603594,30057.63298775,31000.06893125,31000.06893902,31010.01151347,31010.01151347,31010.01152547,31010.01152547,31010.01152547,31010.01152547,31010.01163517,31010.01167362,31010.01173103,33042.38143019,31010.01539302,31010.01540396,30406.38375902,31843.42889158,34569.82934608,36000.0087618,36000.00877274,35236.71289266,31275.34535966,31275.34535966,32354.00000564,32323.73861227
24,36000.00172303,34211.60888343,36000.00200676,36000.00200676,36776.5436147,37922.91025993,28151.05591546,28475.63396459,27899.37748329,28151.05603594,28151.05604371,28151.05606702,31000.06893902,31000.06893902,31000.06895701,31000.06895701,31000.06906135,31000.06906135,31000.06927202,31000.06930937,31000.06932031,31010.01174754,31000.06939725,31000.06940819,28307.65565652,31000.06943553,32353.99997829,35236.71288172,35236.71288719,32966.9278439,31000.06996288,31000.06998788,32106.17923308,31275.34535966
25,34211.60888343,32489.53179867,34211.60874899,32489.53200686,36000.00200676,37180.88883832,27626.48075119,28151.05601546,26532.31778641,26532.31778641,26532.31778641,26532.31778641,28151.05607479,28151.05607479,28685.16621057,28151.05659342,30194.93556456,28151.05669176,28151.05669176,28151.05671911,28151.05677652,31000.06933125,28151.05697933,30406.38374808,28151.05699574,28406.38499606,32029.74114116,34939.982277,32538.99460281,32354.00000017,29958.9879148,28909.79412422,31275.34535966,31000.07032292
26,32489.53178857,31010.01137813,32489.53181847,31010.01139793,34543.67041884,36000.00201453,25965.62166659,26532.31778641,23227.6152009,25104.69733752,25104.59725976,25784.46636482,26532.31778641,26532.31778641,28151.05610166,26532.31779841,28151.05669176,26532.31779841,26532.31779841,26532.31782576,26532.3178367,28151.05680413,26532.31785866,28151.0569848,27277.34778122,28346.99715539,31000.06944647,32353.99998923,32354.00000017,31000.06996288,28151.05836538,28151.05836538,31000.07014366,29153.16779842
27,31010.01136803,31000.06836456,31010.01139793,31000.06838436,32489.53200686,32489.53201463,23275.99897361,23227.6151908,22211.16529642,23227.6152009,24900.00011892,25104.59726522,25104.59726522,25104.5971935,26532.31779841,26158.76008757,26532.31779841,26167.01083326,26167.01083326,26167.01087171,26167.01092912,26532.31784764,24495.35096768,26634.73488157,24495.35039141,28318.9941807,28151.0573435,31982.79059484,31708.96308752,29008.02012735,28000.89876425,28000.89876425,28151.05837084,28151.05837084
28,31000.06826456,29838.23059428,31000.06838436,29979.59821427,31010.01139793,31010.0114057,23227.6151908,22448.71834125,21900.00480779,22899.37768329,23227.6152009,24900.00012669,24900.00012669,24495.35068,25611.5332977,25104.59721985,26167.01083326,25104.59696903,25104.59696903,24804.5966365,25023.40009586,26167.01099056,23969.00029725,24495.35038047,23969.00148841,28151.05730668,27708.96627111,31000.06995194,31000.06996288,28829.984223,25129.60734359,27085.23225638,27595.24196192,24495.3504297
29,30310.32529487,28899.96621222,29514.46194117,28899.96623202,31000.06838436,31000.06839213,22548.71434125,22211.16528642,21754.73535236,22650.0001071,22899.37768329,23227.61520867,23227.61520867,23969.0,25104.59721438,24495.35079377,25104.59696903,24495.35079377,24495.35079377,24495.35083222,24495.35088963,24495.35095666,23227.61528692,23968.99970047,23934.00054384,24495.35040235,24495.35041329,28151.05785444,28151.05835991,28168.44105648,24495.3504297,25685.39295996,24770.14793984,23969.0015367
30,28899.96621222,28151.05544346,28899.96623202,28151.05590222,30561.08702079,29533.796679,22211.16528642,21900.00480779,20870.24180043,22211.16529642,22211.16530188,22211.16530965,22211.16530965,23574.0793533,24495.350686,23969.000012,24495.35079377,23969.000112,23969.000112,23969.00015045,23969.00020786,23969.00028623,22899.99036989,23227.61529786,23227.6153088,23969.00149935,23969.00151029,27708.96628205,27508.02012735,28151.05836538,24324.45796194,24495.3504297,24495.3504297,23913.93662767
31,28151.05543336,27713.34502547,28151.05590222,27211.60741727,29872.08680314,28151.05590999,21900.00480779,20870.24180043,20650.0001071,21900.00480779,22077.46700262,21900.0048256,21800.00467199,23227.61520867,23969.000006,23227.61522667,23969.000012,23227.61522667,23227.61522667,23227.61525402,23227.61526496,23227.6152759,22290.1723382,22899.99038083,23214.38408944,23837.97425922,23571.35350853,24495.35042423,24495.3504297,26672.15477502,23969.0015367,24227.71,23999.80011232,23630.51814302
32,26334.25679599,25223.83509341,25160.31751273,25870.08713815,28151.05590222,28120.38503402,20870.24180043,20151.53035055,20008.00060605,21739.74602836,21900.0048256,21674.74905251,21629.75105251,22211.16530965,23227.61522067,22899.99024646,23227.61522667,22899.99024646,22899.99024646,22899.99028491,23122.83115991,22899.99035887,22211.16588055,22211.16589149,23023.30033552,23708.96946017,23227.61533068,23969.00153123,23969.0015367,25729.612648,23525.44875988,23969.0015367,23969.0015367,23500.25928225
