rank_,d2014_01_31,d2014_02_28,d2014_03_31,d2014_04_30,d2014_05_31,d2014_06_30,d2014_07_31,d2014_08_31,d2014_09_30,d2014_10_31,d2014_11_30,d2014_12_31,d2015_01_31,d2015_02_28,d2015_03_31,d2015_04_30,d2015_05_31,d2015_06_30,d2015_07_31,d2015_08_31,d2015_09_30,d2015_10_31,d2015_11_30,d2015_12_31,d2016_01_31,d2016_02_29,d2016_03_31,d2016_04_30,d2016_05_31,d2016_06_30,d2016_07_31,d2016_08_31,d2016_09_30,d2016_10_31,d2016_11_30,d2016_12_31,d2017_01_31,d2017_02_28,d2017_03_31,d2017_04_30,d2017_05_31,d2017_06_30,d2017_07_31,d2017_08_31,d2017_09_30,d2017_10_31,d2017_11_30,d2017_12_31,d2018_01_31,d2018_02_28,d2018_03_31,d2018_04_30,d2018_05_31,d2018_06_30,d2018_07_31,d2018_08_31,d2018_09_30,d2018_10_31,d2018_11_30,d2018_12_31
14,40000.31473802,40879.25504741,47378.81964869,49971.45356665,52078.26309285,52972.09094746,52972.09104746,57330.01656622,61277.91809026,65028.4470754,66170.69432414,66170.69432414,66170.69442417,66170.69442417,66205.47201547,66205.47301547,66205.47301547,66170.69552417,66170.69552417,66170.69552417,66163.4446777,66163.4446777,66170.69565917,66163.4448127,66163.4451127,66163.4452127,66163.4452402,66163.4452402,66170.69605917,66170.69605917,66163.4452402,66163.4452402,66163.4452402,66163.4452402,66170.69605917,66170.69605917,63036.98835278,66163.4452402,57098.091335,63994.13563343,53880.05741758,59000.001345,53008.83346889,44998.00024657,47550.37250986,47071.57201399,47307.37253532,53000.0074432,53000.0074432,53000.01245183,53880.05770862,66233.75798539,53880.05793158,53880.05860613,53880.05864633,53880.05867317,53880.05870611,57679.15439825,53880.05879315,51830.35561723
15,40000.04351803,40878.12335419,47369.5727753,49902.28024113,52074.77646562,52913.17365301,52913.17375301,57328.97689113,61245.11222002,64990.79565383,66163.44347767,66163.44347767,66163.4435777,66163.4435777,66170.69452417,66170.69552417,66170.69552417,66163.4446777,66163.4446777,66163.4446777,65000.21752667,65000.21755667,66163.4448127,65000.21776778,53880.05731758,53880.05741758,53880.05741758,57200.00137723,66163.4452402,66163.4452402,53880.05741758,53880.05741758,56395.37552,62726.0,66163.4452402,66163.4452402,53880.05741758,53880.05741758,53880.05741758,53880.05741758,48260.47219079,53880.05742758,53000.001345,44864.42509825,44998.00024657,44998.00027203,44899.43660181,51044.31111387,51784.67453047,51784.6745391,53000.01247514,53880.05789192,53000.01256575,53000.01307746,53000.01324467,53000.01326151,53000.01328645,53880.05876762,53000.01337819,49546.36978305
16,40000.04246803,40764.99384012,47121.48973519,49884.08438736,52070.98955076,52892.37602124,52892.37612124,53880.05352692,53880.05363692,53880.05473692,58014.00021,66014.00021,53880.05513696,53880.05513696,66163.4436777,66163.4446777,66163.4446777,53880.05623696,53880.05623696,53880.05623696,53880.05623696,53880.05623696,65000.21766778,56577.99551004,51000.05838359,53500.000335,53200.00137723,53880.05741758,57700.00137723,53880.05741758,53000.01001479,48260.472,53880.05741758,58307.12703573,61186.5837921,53880.05741758,48260.472,52097.991335,48260.472,50000.101335,46000.001335,50501.00001546,48260.37220079,44009.11741688,44864.42509825,44899.43660181,44864.42512371,48500.188117,48554.20564013,50473.36330741,51815.78084001,53000.01252609,51830.35482297,51830.35533468,51830.35536823,51830.35538507,51830.35542112,53000.01335266,51830.35558816,48000.08806824
17,40000.04207013,40761.51946118,44864.21448835,44864.21448835,44864.21448835,44864.21448835,44864.21458835,51000.05414694,51000.05435694,51000.05545694,53880.05493692,63225.04,51000.05630297,51000.05630297,53880.05523696,53880.05623696,53880.05623696,51000.05740297,51000.05740297,51000.05740297,51000.05740297,51950.99541004,53880.05637196,53880.05637196,45000.21786778,53200.00137723,51000.05848359,51000.05848359,53880.05741758,50700.00166304,45200.00172304,46475.63119293,48856.0732097,53880.05741758,53880.05741758,48260.472,48097.991335,48260.472,44998.00006,48260.472,44998.00006,48260.37220079,44998.00007,41310.94362171,44010.01447488,44864.42512371,44010.01456148,46899.37566951,48500.188117,48500.18812563,48889.16230085,51830.35478331,48500.18934443,48500.09805038,48500.09812893,49899.37587348,49428.38087972,52431.38093235,49546.36974621,45000.03974539
18,39844.57650072,40750.23843166,40994.57819892,40869.57939892,40769.57869892,40000.32256302,43088.5018997,50000.46549649,50000.46556118,50000.46556118,51000.05565694,54377.99611,50000.46566122,50000.46566122,51000.05640297,51000.05740297,51000.05740297,48100.476989,46262.45024488,46262.45024488,46262.47128706,51000.05740297,51000.05753797,51000.05753797,44864.42488338,51000.05848359,45000.21886778,44864.42498338,53000.01,44998.0,44998.00006,44998.00006,48260.472,48260.472,48260.472,44998.00006,45072.71305162,45072.71305162,44864.42498338,44998.00006,44864.42498338,44998.00007,44864.42499938,40000.32568857,40000.32568857,44010.01449488,40000.32571403,44010.01467848,44010.01467848,45726.5378622,48500.18924861,48500.18925861,40000.32584289,40000.32635339,44422.38393798,48500.09815577,48500.09818871,51830.35547375,48500.09826687,41899.37716494
19,37500.0001,40660.72205394,40000.32256302,40000.32256302,40000.32256302,40000.000255,40000.32266302,44864.21468835,44864.21479835,44864.21479835,50000.46556118,53880.05493692,50000.40320004,50000.40320004,48100.476989,48100.476989,48100.476989,44864.21599838,44864.42454838,44864.42454838,44864.42454838,46262.47128706,46262.47128706,50403.73184604,40005.00221003,45000.21886778,44864.42498338,43260.37,51000.05848359,44864.42498338,44864.42498338,44864.42498338,44998.00006,46179.44249945,44998.00006,44864.42498338,44998.00006,44998.00006,44009.11740108,44864.42498338,44009.11740108,44864.42499338,44009.11741688,36378.78769555,36095.08889843,40000.32571403,36000.00003546,44000.19793041,40000.32573103,44010.01468711,44010.01470709,44010.01471709,38793.19647043,38875.76891196,40055.08305039,46424.38084478,45899.37590842,48500.09824134,41899.37713587,41213.60236072
20,36001.0,40562.80676059,39200.01009866,40000.000255,40000.000255,39969.57869892,40000.000355,40000.32276302,40000.32287302,40000.32487302,48377.99641,51000.05620294,48089.876889,48100.476889,44864.21499838,44864.21599838,44864.21599838,44341.07294935,44341.07294935,44341.07294935,44341.07294935,44864.42454838,44864.42468338,44864.42468338,40000.32574601,44864.42498338,43260.37,40005.00241003,47678.99773289,44009.11640108,44009.11740108,44009.11740108,44864.42498338,44998.00006,44864.42498338,44009.11740108,44864.42498338,44864.42498338,40000.32584601,44009.11740108,41266.67606478,44009.11741108,40000.32586201,36000.00001,36000.00001,36000.00003546,35604.03840628,40000.32583103,36000.00015246,40000.32573103,40000.32584289,40000.32584289,37415.38314631,38793.1971181,40013.9158693,40055.08307391,40475.36022942,45899.37710257,40870.32535641,41154.33087958
21,35839.997,40500.0,36936.85523247,39200.01009866,40000.0,38525.97376826,38069.57889892,40000.000455,40000.000575,40000.000575,44864.21479835,50000.46556118,46300.00003004,44864.21489838,44341.07194935,44341.07294935,44341.07294935,40000.32541101,40000.32541101,40005.00177503,40005.00177503,44341.07294935,40005.00201003,40783.01923227,36287.2596163,40005.00231003,40005.00231003,40000.32584601,47481.0,43260.37001319,43260.37101319,43260.37101319,44009.11740108,44864.42498338,44009.11740108,43260.37101319,44009.11740108,44009.11740108,37715.42911376,40000.32584601,40000.32584601,40836.99478785,36558.7049656,35293.08438212,35293.08438212,35801.95806756,35293.0824971,36000.00015246,35703.93819181,40000.18980863,38793.26320011,38793.19643077,37413.88326603,38554.43931526,40000.32638697,40038.63952224,40055.08310079,40592.84521593,40592.84524146,40592.84525034
22,35125.90194256,40007.99397612,35740.000055,36936.85523247,36936.85523247,36636.85523247,36636.85533247,36336.85533247,35904.85534247,36377.99651,40000.32487302,50000.403,44864.21489838,44341.12214939,40000.32441101,40000.32541101,41377.99571004,40000.00177503,40000.00177503,40000.32541101,40000.32541101,40005.00177503,40000.32554601,40005.00201003,35403.09335922,40000.32584601,40000.32584601,37469.51665264,44864.42498338,40277.09688821,41846.39625763,40000.32584601,43260.37101319,44400.00172304,43260.37101319,42758.94303831,43336.52156264,43260.37101319,37247.71305162,37433.78245599,37138.6526013,40000.32585601,36471.73560032,35228.5027712,35228.5027712,35293.0824971,35228.50279212,35569.76241804,35570.33298704,38793.2628648,37296.84566951,37413.88322637,37404.4387981,38239.40729858,39238.63949872,40013.91589282,40038.63955518,40474.36304137,40474.3630669,40474.36307578
23,35038.61057343,40000.32250802,34409.36701748,36500.0001,35740.000055,34879.63445464,35000.34879649,34409.36721748,34409.36732748,35504.85524248,40000.000575,48700.08931,44341.12214939,43299.99963004,40000.00077503,40000.00177503,40000.32541101,36287.2592813,39475.07113626,38077.99551004,36287.2592813,40000.32541101,36287.2594163,40000.32554601,35228.5026612,36287.2597163,37600.000335,36287.2597163,43260.37,40000.32584601,41336.02,39714.33270287,41964.0,44009.11740108,42400.00172304,40000.32584601,43260.37101319,40000.32584601,35994.13563343,37247.71305162,36000.0,36853.52001114,36000.00001,34097.87122641,33809.7781557,35228.50278666,35000.00729017,35469.45684476,35469.45739067,36000.00016096,36570.33301169,37404.43875844,37375.40678142,37963.88377653,38993.7075441,40000.32639384,40013.9159217,40454.33082498,40454.33085051,40438.39519222
24,34993.33483093,40000.05128803,31000.05090116,35740.000055,34879.63445464,34409.36701748,34879.63455464,31000.05110116,31000.05131116,33014.00021,36700.08931,48089.87678897,40000.32497305,40000.32497305,31000.0517112,31000.0527112,40000.00177503,32377.99561004,38077.99561004,36287.2592813,35394.18703359,36287.2592813,34488.52941483,36287.2594163,35000.0002,35403.09445922,36287.2597163,35403.09465922,40425.90376243,37874.18562011,40000.32584601,38400.00172304,40000.32584601,43260.37101319,40000.32584601,39881.96649495,40000.32584601,38011.54710748,35410.16190325,36000.0,35406.38024997,36000.00001,35406.81289203,33809.7781557,33635.98280669,35000.00722357,33762.84833266,35293.0826141,35293.26285619,35969.45739917,36103.93921646,37125.1783393,37125.17838796,37415.38389903,38875.36016403,39593.70756762,40000.32639384,40438.39516447,40438.39518334,40000.32769985
25,34740.05799102,40000.05023803,30500.008394,34879.63445464,34409.36701748,31000.05090116,34409.36711748,30779.00329892,30500.008704,31000.05131116,35509.95365248,44864.21479835,40000.00067503,40000.00067503,30500.00890403,30500.00990403,31000.0527112,31000.0527112,36287.2592813,31508.49483275,31508.49483275,34488.52941483,31506.99783275,34488.52941483,34488.52961483,35228.5027612,35403.09455922,35228.5027612,40005.00241003,36287.2597163,39995.79161327,37305.7985106,39714.33270287,40000.32584601,39881.96636495,38566.69796117,38279.44121157,35410.16190325,35228.5027612,35406.38024997,35228.5027612,35406.38025997,35228.5027712,33635.98280669,33602.96182269,33810.00689628,33635.91612504,35204.03852328,35188.90926891,35713.90926891,36000.00018561,36575.40674176,36000.00023527,36000.00096254,36000.00099343,39475.36020448,39593.7075865,40413.60231278,40413.60233165,36000.00172303
26,34712.89427353,40000.04984013,30000.0,34409.36701748,31000.05090116,30500.008394,31000.05100116,30500.008594,29656.51773746,30500.008704,35080.07965784,44341.12194935,38377.99611004,32377.99601004,29624.31831084,29655.0,30500.0,30500.0,31000.0528112,31000.0528112,31000.0528112,31508.49483275,31000.0530562,31511.27775105,32263.10524627,33488.53071483,35228.5027612,33488.53071483,40000.32584601,35228.5027612,37192.70709755,35228.5027612,38588.05235548,39147.84357883,38867.61594774,37400.00185304,37400.00185304,35228.5027612,34112.562113,35298.92497682,33809.83796774,35228.5027712,33809.7781557,33602.96182269,33050.24833473,33635.91612504,33603.26768533,34999.96511007,34999.96511007,35703.93919181,35999.96511007,36000.00019561,35999.96516973,35999.96590245,35611.62356147,36000.00101027,36000.00102915,40000.32642148,40000.32642703,34211.60886651
27,34691.76537834,39200.00704366,29658.53720418,31000.05090116,30500.008394,29658.8010135,30500.008494,29656.51737286,28150.05015902,28156.51306529,31000.05131116,44000.0,31000.0516112,31000.0516112,28156.51336532,29624.31831084,29655.0,29655.0,30500.0,30002.05,30950.99541004,31000.0528112,30000.0,31000.0531562,31511.27795105,33115.90950329,34985.72135331,32130.86816425,38679.35852805,35000.44856778,36287.2597163,33488.53071483,36400.00172304,38588.05235548,35228.5027612,35228.5027612,35410.16190325,34112.562113,33808.15053248,35228.5027612,33635.97996774,33809.83797774,33635.98280669,32489.53073783,32489.53073783,33603.26768533,32489.53074329,34279.55443444,32489.53086029,35570.33298704,35982.35526887,35999.96512007,35820.97052188,35919.86708634,34010.0128316,35611.62357833,35611.62359721,36000.00134468,40000.03943401,32489.53178857
28,34572.91631184,35840.00477,28150.04974902,30500.008394,29658.80523651,28150.04974902,29656.51727286,29377.0,26167.05104903,28150.05015902,30500.008704,40000.32487302,30700.08921004,30700.08921004,28150.05035905,28151.05125905,29624.31831084,29624.31831084,29655.20855,29655.20855,30002.05,30002.05,29624.52686084,30828.5035838,31000.0533562,31511.27905105,33488.53071483,31505.55840107,36287.2597163,33488.53071483,35228.5027612,33429.25709999,35228.5027612,35228.5027612,33432.39878752,34112.562113,35228.5027612,33808.15053248,33636.63892353,34112.562113,33602.66741924,33635.97997774,33602.96182269,32071.9175558,32071.9175558,32489.53074329,31269.5816476,32489.53086029,31269.5817646,34999.96511007,35969.45742382,35131.94158431,35611.62301832,35611.62352882,33499.96610171,34010.01284844,34010.01286732,35611.62363274,36000.00134468,31010.01136803
29,34544.10038376,34409.36696248,27579.13282201,29658.73834123,28150.04974902,26167.05073903,28150.04984902,28150.04994902,25564.74559551,26167.05114903,28156.51316529,40000.000575,30509.95335252,30500.00880403,25750.0001,27377.99571004,28151.05125905,28552.1810235,29624.52686084,29624.52686084,29655.20855,29624.52686084,29000.00012333,29000.00012333,29000.00032333,31000.0534562,31511.27905105,31000.0535562,35403.09475922,33167.02982699,33488.53071483,31510.47200747,33488.53071483,33432.39878752,33306.91088108,34097.991335,34112.562113,33636.63892353,33604.3548545,33809.83796774,32489.53072783,33602.66742924,32489.53073783,31000.06004416,31000.06004416,31000.06004962,31084.83009077,32056.21315264,31265.21852482,33233.87326725,35713.90957116,33411.38310665,34276.54041493,34276.54114765,33123.35807322,33499.96612523,32956.50926462,32956.50930903,35611.62368364,31000.06814456
30,34464.46025028,31000.05084616,26167.05063903,28150.04974902,26167.05073903,25009.12007083,26167.05083903,27161.70576571,25376.99971,25708.77511835,28150.05015902,35509.95365248,30500.00880403,30000.00010003,24139.18150405,25750.0001,25750.0001,28151.05125905,28151.05135905,28151.05135905,29624.52686084,28151.05135905,28151.05159405,28151.05169405,28750.000235,28366.65429857,31000.0534562,30000.21866778,35228.5027612,31505.55840107,33429.25709999,31068.37813713,33429.25709999,33306.91088108,33112.5621,33428.54192357,33808.15053248,33604.3548545,33400.00185304,33635.97996774,31000.05993416,32489.53073783,31000.05994416,30108.47470277,30241.16233974,30241.2933452,31000.06024962,31269.5817646,31084.83020777,32489.53086029,32489.53088494,32489.53089494,34010.01229567,34010.01280072,32956.5092289,32956.50924574,32841.14774519,32841.1477896,32956.50930903,30334.3187422
31,34463.27207736,30500.008339,25008.12107083,26167.05063903,25009.12007083,25000.00168449,25009.12017083,26167.05093903,25009.12038083,24279.00350892,26167.05114903,31000.05131116,29624.31821084,29624.31821084,23377.99581004,24139.18250405,24139.18250405,25750.0001,27066.08551825,27672.15711949,28151.05135905,27672.15711949,27670.88811949,27667.62798291,28151.05189405,28249.9999765,29581.89828242,28249.9999765,33488.53071483,31000.0597162,33388.37484769,31000.0597162,33309.80770934,33112.5621,32638.8694156,33401.82190777,33636.63892353,33400.00185304,33211.6610708,33602.66741924,30994.02225444,31000.05994416,30949.02129165,30000.24720811,30108.47470277,30237.85403369,30988.41735935,31084.83020777,31000.06741162,31269.5817646,32410.38309665,32311.66304263,33267.09883514,33267.09934019,32841.14770147,32841.14771831,32795.63723747,32795.63728188,32841.1477896,28899.96621222
32,34409.35919248,30000.04973903,24139.18109402,25009.12007083,24139.18109402,24139.18109402,24139.18119402,25009.12027083,24279.00330892,24139.18130402,25708.77511835,30500.008704,28156.51326532,29109.95315252,23000.00990405,23000.01090405,23805.17331468,24139.18250405,25850.0001,26444.54662007,27672.15711949,26520.53983064,26696.12322286,25850.0001,27667.62818291,28151.05189405,28249.9999765,28151.05199405,31505.55840107,28838.64203012,31510.47200747,30594.84778613,33112.5621,32489.53071483,32489.53071483,33361.07321863,33604.3548545,32489.53072783,32489.53072783,32489.53072783,30501.0,30000.562123,30000.24720811,29772.39409802,30000.24720811,30108.47520823,30241.2933452,31000.06036662,30899.37566951,31084.83021632,31269.58178925,31269.58179925,32489.5309346,32956.50919823,32795.63718769,32795.63720453,32524.96970106,32499.96619557,32795.63728188,28151.05542336
33,33696.91223401,29658.53604418,23878.999955,24139.18109402,23000.00949402,23000.00949402,23000.00959402,24139.18129402,24139.18130402,23700.08931,24139.18130402,28156.51316529,28150.05025905,28156.51326532,21854.78157356,21744.00950403,23000.01090405,23000.01090405,24500.01090405,25850.0001,25850.0001,25850.0001,25850.0001,25668.18430647,25850.0003,27667.62918291,28151.05189405,27673.01030033,31000.0597162,28177.32201,31354.87747031,29999.99966537,32010.57535086,32274.19515642,32386.9082467,33300.15707187,32489.53072783,31000.0597292,32270.37101319,31000.05993416,30230.40434503,28984.02242264,29244.03057544,28477.49709407,29772.39409802,29772.39410348,30237.85403369,30988.41747635,30241.2934622,31000.06742016,31084.8305762,31084.8305862,32297.44426254,32841.14766242,32489.53171153,32489.53172839,32499.96615211,32489.53177192,32499.96619557,25160.31710599
34,31341.80047,28878.9999,23000.00949402,23000.00949402,22191.29594986,22191.29594986,22191.29604986,23000.00969402,23325.0017,23659.75519304,23000.00970402,28150.05015902,26167.05124906,28150.05025905,21744.00850403,21588.00130003,21744.00950403,21744.00950403,24139.39105405,25671.19522477,25671.19522477,25671.19522477,25672.46422477,25624.91097466,25668.18450647,25850.0013,27667.62918291,25850.0013,28177.32201,28151.05323405,31000.0597162,28177.32208407,31510.47200747,32272.78341293,31000.0597162,32520.75270962,31676.15634638,28177.32208407,31000.05993416,28177.32208407,30000.562113,28463.96109333,28177.32209407,28151.05325705,28477.49709407,28737.97246113,30108.47520823,30241.2934622,30108.47532523,30560.18076241,31000.06742016,31000.06743562,31893.4136563,32795.63715702,31269.58247472,32156.86399226,32489.53173639,31269.58254597,32489.53177192,24266.04954904
