,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31
10,529999.99602191,529999.99602191,659999.9726423204,608331.080805786,659999.9726423204,608331.080805786,560000.0,499999.999535872,499999.994939,490999.994939,499999.999535872,466645.30853188544,502224.5553909727,611102.0,672684.6258418387,672684.6258418387,672784.6120623287,672784.6120623287,672524.3538675986,699999.9840501,888344.5097546929,981678.5636084653,912672.2756084654,725001.0,748997.6033829252,741997.7053829251,672784.6120623287,740021.5848197507,737021.5893197507,737021.5933408955,743457.0321795996,727137.1249212257,672784.6207323286,710000.0000100001,685255.0507013634,725000.00001,755000.00001,775000.00001,801159.0523315696,903998.4580896611,953600.1460096728,958152.5102245584,801052.5959325696,801052.5959325696,794159.4454728862,801052.5959325696,801052.5959325696,850860.5382150336,801052.5959325696,801052.5959325696,789534.5953470947,789534.5953470947,756883.8333419516,752123.1053336672,770999.00123114,770999.0028333402,770998.9535803399,735757.1243865171,731185.6524737243,720118.3543069193,694153.267700132,675998.95358034,675998.95358034,626068.111853172,626068.111853172,717021.111853172,657334.1356969697,657334.1356969697,657334.1356969697,657334.1356969697,1040000.0,890934.9711572122,800010.7604636808,657334.1356969697,582784.5601288954,550665.7121903435,560000.000065
11,499999.99693858303,499999.99693858303,608331.080805786,560000.0,608331.080805786,560000.0,529999.99602191,499999.99693858303,499997.024980458,480637.6119523376,499999.99693858303,458235.6691235022,499999.99693858303,560000.0,672424.3556805612,672424.3556805612,672524.3538675986,672524.3538675986,670941.3437967153,672784.6120623287,733411.6148274286,887896.3182747449,887429.72906919,700000.002904549,685000.002904549,708024.7644006271,672524.3538675986,707834.6807217455,672784.6207323286,721593.5988714627,672784.6207323286,672784.6207323286,672524.3538675986,672784.6207423286,672784.6207423286,672784.6207423286,726101.3739038013,723811.3739038013,743428.3367323906,817060.5350938013,824999.8851113827,889999.8851113827,800204.1436678859,798960.8074706974,726999.8861113825,790446.0155579542,786198.9693162846,801052.5959325696,789508.4484999445,789525.4763170945,785999.8861113825,785999.8861114825,697219.5201001308,701946.3201101308,748585.2662106021,745963.896317663,742627.6242578537,670998.95358034,725998.95358034,706529.7114846271,675998.95358034,667635.7663887771,657334.1356869696,605516.4872494101,566973.6323501372,675998.9535813399,576225.1011984303,560000.000065,653651.6810014129,653747.9615404092,994741.1114846272,870010.7506048131,799999.4341938115,610640.7198619307,582705.13919421,524003.55997478287,548526.5022123331
12,499999.994939,499999.994939,560000.0,529999.99602191,560000.0,529999.99602191,499999.999535872,499999.994939,449999.992824575,473357.08338749566,466639.2270959055,449999.992824575,466645.80853188544,536172.5011435325,670841.3575762252,670841.3575762252,670941.3437967153,670941.3437967153,616991.6417053028,672524.3538675986,672784.6120623287,772875.1751471704,672784.6120623287,672784.6120623287,672784.6120623287,672784.6120623287,670941.3437967153,672784.6207323286,672524.3538675986,672784.6207323286,672524.3538675986,672524.3538675986,670941.3437967153,672524.3538775984,672524.3538775984,672524.3538775984,672784.6207425286,672784.6207425286,723811.3750938013,811353.8666480803,817060.5350938013,887731.1394134004,794999.8861113825,726999.8861113825,657334.1356768698,657334.1356768698,657334.1356768698,782076.7000598185,777303.2341657297,772487.3315315542,768441.5026142456,761334.5242520215,657334.1356869696,657334.1356869696,706123.9566196162,657334.1356869696,657334.1356869696,657334.1356869696,657334.1356869696,675998.95358034,657334.1356869696,657334.1356869696,611415.111853172,569033.8158275228,566038.7238261327,657334.1356969697,560000.00003,474597.5959325696,560000.000065,629033.9291324081,851780.7806122121,826241.111484627,791541.948857156,600000.0166885381,560000.000065,487410.5386032013,538797.9354167614
13,455999.96401955694,455999.96401955694,529999.99602191,499999.99693858303,529999.99602191,517635.7961325639,499999.99693858303,499997.024980458,445439.445574609,466637.1290873354,449999.992824575,449996.62498045794,461102.0,529999.99602191,560000.0,560000.0,600000.3584844443,615560.0865264987,600230.01477393,670941.3437967153,672524.3538675986,672784.6120623287,672524.3538675986,672524.3538675986,672524.3538675986,672524.3538675986,648024.7644006272,672524.3538675986,670941.3437967153,672524.3538675986,670941.3437967153,671456.0321795995,670456.1631673526,670941.3438067151,670941.3438067151,670941.3438067151,672524.3538775984,672524.3538775984,674999.8851113826,801159.0523315696,807973.850113596,850860.5350938013,657334.1356666667,657334.1356666667,646829.5744799599,645173.90633858,644536.9785747599,770639.3142947053,657334.1356768698,657334.1356768698,683000.9978186039,683000.9988186039,599582.942930373,597623.370144773,657334.1356869696,619117.3279411662,593623.4033482345,643271.8203998667,587633.6033502346,657334.1356869696,580633.6033502346,576633.6058275228,608437.8346541048,560000.00003,560000.00003,562438.7238261328,556097.5959325696,458838.63502854994,465000.0,560000.000065,657334.1356969697,799999.4341938115,696241.1114846271,560000.000065,557986.8673011201,477157.8470565082,504000.4998875176
14,449999.992824575,449999.992824575,499999.99693858303,499999.994939,499999.999535872,499999.999535872,499999.994939,479635.7961325639,438822.8093474614,449999.992824575,449996.62498045794,445439.445574609,449999.992824575,524154.4110202025,543875.56,529999.99602191,570002.0445265061,570002.0445265061,590328.9269468692,665001.9,670941.3437967153,672524.3538675986,670941.3437967153,670941.3437967153,670941.3437967153,670941.3437967153,600017.8183732629,670941.3437967153,588153.4807855629,670941.3437967153,650552.3361600387,670941.3437967153,661868.2939512283,670456.2152188856,669816.1545188857,669816.1635188855,670941.3438067151,670941.3438067151,672784.6217425286,754999.8851113827,801052.5949325697,804427.6796957235,652442.8406735199,649492.8542465599,614505.712953668,560000.00001,594468.3118654285,657334.1356768698,609539.1154812499,608539.4658932497,657334.1356869696,657334.1356869696,560000.00003,560000.00003,597623.370144773,596623.370144773,563501.0829577472,591623.4033482345,583955.3229881955,585633.6033502346,560000.00003,560000.00003,572633.7158275228,515998.95358034,540998.95358134,560000.00003,486885.2729634084,450000.0226657265,463597.5959325696,507013.90307067137,560000.000065,657334.1356969697,657334.1356969697,519924.98986171215,541056.0636418719,465197.5959325696,465197.5959325696
15,438822.8093474614,438822.8093474614,499999.994939,457523.8208584725,499999.99693858303,499999.99693858303,499996.624980458,449999.992824575,435999.999076,449996.62498045794,445439.445574609,438822.8093474614,449996.62498045794,499999.99693858303,529999.99602191,510251.81222020247,560000.0,560000.0,589593.8609113862,616241.4384888298,600401.9,670941.3437967153,600230.01577393,560000.0,658024.7644006271,600017.8177732629,570159.2916504424,600017.8806855628,580000.0,616130.1360698129,616000.1360698129,670000.0,600000.155850683,635652.273442096,589999.985247,642335.0617638641,666818.1635188855,663046.7922677855,672524.3538775984,672784.6217425286,672784.6217425286,801052.5949325697,560000.00001,604935.2693925264,560000.00001,529999.99603201,560000.00001,641538.0785747599,560000.00001,560000.00001,604545.93787112,601582.8173104699,509998.6390649,549999.782779706,560000.00003,560000.00003,560000.00003,560000.00003,560000.00003,560000.00003,514911.111853172,522020.111853172,560000.00003,507409.9287274059,474427.26475627616,533288.6138461047,459838.63426899,429595.18956805416,458340.58502854983,465000.0,453697.5959325696,560000.000065,560000.000065,493614.2544881693,500004.98986171215,450000.0500857264,450000.0500857264
16,435999.999076,435999.999076,457523.8208584725,449999.992824575,499999.994939,499999.994939,479635.7961325639,438822.8093474614,434946.444896219,445439.445574609,438822.8093474614,435999.999076,445439.445574609,470312.4767892127,510251.81222020247,500000.00413797086,529999.99602191,529999.99602191,589059.1038003219,600230.01477393,600230.01477393,664368.7982671717,572995.2432480423,550000.9831279813,560000.0,587845.2331871585,560000.0,580000.0,560000.0,580000.0,580000.0,600000.1460798129,560000.0,589999.985247,560000.00001,589999.985347,658069.1294784143,649551.0696633443,670941.3438067151,672524.3538775984,672524.3538775984,657334.1356666667,548536.4852738793,560000.00001,529999.99603201,502840.2244149445,529999.99603201,560000.00001,529999.99603201,529999.99603201,560000.00003,560000.00003,480286.58004059707,509998.6390649,460000.2904654572,532527.7114846271,552529.7114846272,555718.4099345232,552529.7114846272,529874.0114602156,450000.0206657265,450000.0206657265,450000.0206657265,475211.03721026814,450000.0206657265,486762.6168694814,450000.0206657265,429017.77686948143,450000.0226657265,463597.5959325696,450000.0500857264,462197.5959325696,500309.60410320136,491905.43300944846,465197.5959325696,411786.875,430057.0064451904
17,400439.99810878,400439.99810878,449999.992824575,438822.8093474614,457523.8208584725,499996.624980458,457523.8208584725,435999.999076,432991.82320613536,438822.8093474614,435999.999076,434946.444896219,438822.8093474614,466645.80853188544,499999.99693858303,466645.80853188544,510251.81222020247,526589.3487456825,560000.0,560000.0,582357.3678899864,600230.01577393,560000.0,550000.02,558116.6967839205,560000.0,558116.6967839205,573024.7644006271,558116.6967839205,560000.0,570500.9508513826,560000.0,558116.6967839205,560999.8851113826,558116.6967939206,560000.00001,590999.8851113826,614999.8851113827,662242.7992957799,670941.3438067151,670941.3438067151,656442.8321745899,529999.99603201,529999.99603201,494414.84232410375,483000.093637,483000.093637,529999.99603201,509998.6390649,509998.6390649,529999.99605201,509998.6390649,460000.2904654572,478886.580040597,450000.0196647255,460000.2904654572,505275.7794708877,476036.111853172,498363.111853172,514911.111853172,434999.792779806,434999.792779806,445187.2128559554,460500.3753959555,405067.96401879087,450000.0206657265,432834.90686948143,415835.296639107,407703.77686948143,450461.77,430141.1194644899,450000.0500857264,462197.5959325696,465197.5959325696,450000.0500857264,384868.4367831444,420291.73862259096
18,399999.99895,399999.99895,438822.8093474614,435999.999076,449999.992824575,457523.8208584725,449999.992824575,434946.444896219,425000.1496,435999.999076,434946.444896219,400439.99810878,435999.999076,464067.0194540192,466645.80853188544,465313.0894741501,488717.6135594026,480013.37839386746,550000.0545265061,539000.0545265061,575001.0,560000.0,550000.9831279813,529999.99602191,550000.9831279813,558116.6967839205,550000.9831279813,560000.0,552124.1549155226,558116.6967839205,560000.0,558116.6967839205,552124.1549155226,560000.00001,552124.1549255225,558116.6967939206,579999.9853470001,560000.00001,571311.1606239117,659442.83217459,657442.8321745899,560000.00001,493015.4604822343,483000.093637,483000.093637,456847.1280385495,460000.3109387268,484843.2702370907,483000.09505700006,486920.6724478085,509998.6390649,484799.99605201,450000.0196647255,471767.813,437527.2005676272,450000.0206657265,460000.2904654572,472529.7114846272,450000.0206657265,480001.228733001,400002.990965,392829.7758371605,434999.792779806,450000.0206657265,399705.4671456979,447048.3723072973,411009.04519042186,379148.6131681192,349071.2172788428,450000.0500857264,420960.5489844782,394487.6371044899,450000.0500857264,450000.0500857264,435741.1114846271,330741.1114846271,411787.051
19,399999.98085847247,399999.98085847247,435999.999076,416666.071671,438822.8093474614,449999.992824575,438822.8093474614,425000.1496,414950.99852864,434946.444896219,400439.99810878,391393.9730522426,434946.444896219,463241.79923941765,459996.55527045793,459996.50527045794,480013.37839386746,466645.80853188544,529999.99602191,529999.99602191,560000.0,529999.99602191,529999.99602191,500000.096473946,550000.02,550000.9831279813,550000.02,558116.6967839205,550000.9831279813,552124.1549155226,558116.6967839205,552124.1549155226,550000.02,558116.6967939206,550999.8851113826,552124.1549255225,560000.00001,558116.6967939206,560000.00001,560000.00001,560000.00001,529999.99603201,483000.093637,470000.985347,470000.988746753,450026.0867857891,450026.0867857891,483000.09505700006,474999.98950001,483000.09505700006,478795.5919812181,481424.580040597,425694.7395257928,460000.2904654572,421767.813,400001.228733001,450000.0206657265,460000.2904654572,400001.228733001,450000.0206657265,392829.7758371605,361165.132218518,382829.7758371605,412058.6390649,393899.7917798059,420727.6965611249,364899.7917798059,356374.775585073,333344.92483262887,430340.51509063994,414320.05434463726,384424.477,424684.894,449465.14,411786.562,325001.91359528,374868.4367831444
