rank_,d2015_06_30,d2015_07_31,d2015_08_31,d2015_09_30,d2015_10_31,d2015_11_30,d2015_12_31,d2016_01_31,d2016_02_29,d2016_03_31,d2016_04_30,d2016_05_31,d2016_06_30,d2016_07_31,d2016_08_31,d2016_09_30,d2016_10_31,d2016_11_30,d2016_12_31,d2017_01_31,d2017_02_28,d2017_03_31,d2017_04_30,d2017_05_31,d2017_06_30,d2017_07_31,d2017_08_31,d2017_09_30,d2017_10_31,d2017_11_30,d2017_12_31,d2018_01_31,d2018_02_28,d2018_03_31,d2018_04_30,d2018_05_31,d2018_06_30,d2018_07_31,d2018_08_31,d2018_09_30,d2018_10_31,d2018_11_30,d2018_12_31,d2019_01_31,d2019_02_28,d2019_03_31,d2019_04_30,d2019_05_31,d2019_06_30,d2019_07_31,d2019_08_31,d2019_09_30,d2019_10_31,d2019_11_30,d2019_12_31,d2020_01_31,d2020_02_29,d2020_03_31,d2020_04_30,d2020_05_31,d2020_06_30,d2020_07_31,d2020_08_31,d2020_09_30,d2020_10_31,d2020_11_30,d2020_12_31,d2021_01_31,d2021_02_28,d2021_03_31,d2021_04_30,d2021_05_31,d2021_06_30,d2021_07_31,d2021_08_31,d2021_09_30,d2021_10_31
11,529999.99602191,529999.99602191,659999.97264232044,608331.080805786,659999.97264232044,608331.080805786,560000.0,499999.99953587196,499999.994939,490999.994939,499999.99953587196,466645.30853188544,502224.5553909727,611102.0,672684.62584183866,672684.62584183866,672784.61206232873,672784.61206232873,672524.35386759858,699999.9840501,888344.5097546929,981678.56360846513,912672.27560846519,725001.0,748997.60338292515,741997.70538292511,672784.61206232873,740021.58481975074,737021.58931975078,737021.59334089549,743457.03217959963,727137.12492122583,672784.62073232862,710000.00001000008,685255.05070136336,725000.00001,755000.00001,775000.00001000008,801159.0523315696,903998.45808966132,953600.1460096729,958152.5102245583,801052.59593256959,801052.59593256959,794159.44547288609,801052.59593256959,801052.59593256959,850860.53821503359,801052.59593256959,801052.59593256959,789534.5953470947,789534.5953470947,756883.8333419516,752123.10533366725,770999.00123114,770999.00283334008,770998.9535803399,735757.1243865171,731185.65247372433,720118.35430691927,694153.267700132,675998.95358034,675998.95358034,626068.111853172,626068.111853172,717021.111853172,657334.13569696969,657334.13569696969,657334.13569696969,657334.13569696969,1040000.0,890934.97115721216,800010.76046368084,657334.13569696969,582784.56012889545,550665.71219034353,560000.000065
12,499999.99693858303,499999.99693858303,608331.080805786,560000.0,608331.080805786,560000.0,529999.99602191,499999.99693858303,499997.02498045797,480637.61195233761,499999.99693858303,458235.66912350222,499999.99693858303,560000.0,672424.35568056116,672424.35568056116,672524.35386759858,672524.35386759858,670941.34379671514,672784.61206232873,733411.6148274286,887896.3182747449,887429.72906919,700000.002904549,685000.002904549,708024.76440062711,672524.35386759858,707834.68072174548,672784.62073232862,721593.59887146286,672784.62073232862,672784.62073232862,672524.35386759858,672784.62074232858,672784.62074232858,672784.62074232858,726101.37390380132,723811.37390380132,743428.33673239057,817060.53509380133,824999.8851113827,889999.88511138258,800204.14366788592,798960.80747069744,726999.88611138263,790446.0155579542,786198.96931628464,801052.59593256959,789508.44849994453,789525.47631709464,785999.88611138263,785999.88611148263,697219.52010013082,701946.32011013094,748585.26621060213,745963.896317663,742627.62425785384,670998.95358034,725998.95358034,706529.7114846271,675998.95358034,667635.76638877706,657334.13568696962,605516.48724941013,566973.63235013722,675998.95358133991,576225.10119843029,560000.000065,653651.68100141292,653747.96154040925,994741.11148462724,870010.75060481322,799999.43419381138,610640.7198619307,582705.13919421,524003.55997478287,548526.50221233314
13,499999.994939,499999.994939,560000.0,529999.99602191,560000.0,529999.99602191,499999.99953587196,499999.994939,449999.992824575,473357.08338749572,466639.22709590546,449999.992824575,466645.80853188544,536172.50114353246,670841.35757622519,670841.35757622519,670941.34379671514,670941.34379671514,616991.64170530275,672524.35386759858,672784.61206232873,772875.17514717043,672784.61206232873,672784.61206232873,672784.61206232873,672784.61206232873,670941.34379671514,672784.62073232862,672524.35386759858,672784.62073232862,672524.35386759858,672524.35386759858,670941.34379671514,672524.35387759842,672524.35387759842,672524.35387759842,672784.62074252858,672784.62074252858,723811.3750938013,811353.86664808018,817060.53509380133,887731.13941340055,794999.88611138251,726999.88611138263,657334.13567686977,657334.13567686977,657334.13567686977,782076.70005981845,777303.23416572972,772487.33153155423,768441.50261424563,761334.52425202145,657334.13568696962,657334.13568696962,706123.95661961625,657334.13568696962,657334.13568696962,657334.13568696962,657334.13568696962,675998.95358034,657334.13568696962,657334.13568696962,611415.111853172,569033.81582752278,566038.72382613271,657334.13569696969,560000.00003,474597.59593256959,560000.000065,629033.92913240823,851780.78061221214,826241.11148462712,791541.948857156,600000.01668853813,560000.000065,487410.53860320133,538797.93541676144
14,455999.96401955694,455999.96401955694,529999.99602191,499999.99693858303,529999.99602191,517635.7961325639,499999.99693858303,499997.02498045797,445439.44557460904,466637.12908733543,449999.992824575,449996.62498045794,461102.0,529999.99602191,560000.0,560000.0,600000.35848444432,615560.08652649866,600230.01477393,670941.34379671514,672524.35386759858,672784.61206232873,672524.35386759858,672524.35386759858,672524.35386759858,672524.35386759858,648024.76440062723,672524.35386759858,670941.34379671514,672524.35386759858,670941.34379671514,671456.03217959951,670456.16316735256,670941.3438067151,670941.3438067151,670941.3438067151,672524.35387759842,672524.35387759842,674999.88511138258,801159.0523315696,807973.850113596,850860.53509380133,657334.13566666667,657334.13566666667,646829.57447995991,645173.90633858,644536.97857475991,770639.31429470528,657334.13567686977,657334.13567686977,683000.99781860388,683000.99881860393,599582.942930373,597623.370144773,657334.13568696962,619117.32794116624,593623.40334823448,643271.82039986667,587633.60335023457,657334.13568696962,580633.60335023457,576633.60582752281,608437.83465410478,560000.00003,560000.00003,562438.72382613283,556097.59593256959,458838.63502854994,465000.0,560000.000065,657334.13569696969,799999.43419381138,696241.11148462712,560000.000065,557986.86730112007,477157.84705650824,504000.4998875176
15,449999.992824575,449999.992824575,499999.99693858303,499999.994939,499999.99953587196,499999.99953587196,499999.994939,479635.7961325639,438822.80934746139,449999.992824575,449996.62498045794,445439.44557460904,449999.992824575,524154.41102020245,543875.56,529999.99602191,570002.0445265061,570002.0445265061,590328.92694686924,665001.9,670941.34379671514,672524.35386759858,670941.34379671514,670941.34379671514,670941.34379671514,670941.34379671514,600017.81837326288,670941.34379671514,588153.48078556289,670941.34379671514,650552.33616003871,670941.34379671514,661868.29395122826,670456.21521888545,669816.15451888554,669816.1635188855,670941.3438067151,670941.3438067151,672784.62174252863,754999.8851113827,801052.59493256966,804427.67969572358,652442.84067351988,649492.8542465599,614505.712953668,560000.00001,594468.31186542846,657334.13567686977,609539.11548124987,608539.46589324984,657334.13568696962,657334.13568696962,560000.00003,560000.00003,597623.370144773,596623.370144773,563501.08295774716,591623.40334823448,583955.32298819546,585633.60335023457,560000.00003,560000.00003,572633.7158275228,515998.95358034,540998.95358134,560000.00003,486885.27296340838,450000.02266572649,463597.59593256959,507013.90307067143,560000.000065,657334.13569696969,657334.13569696969,519924.98986171215,541056.06364187191,465197.59593256959,465197.59593256959
16,438822.80934746139,438822.80934746139,499999.994939,457523.82085847249,499999.99693858303,499999.99693858303,499996.624980458,449999.992824575,435999.999076,449996.62498045794,445439.44557460904,438822.80934746139,449996.62498045794,499999.99693858303,529999.99602191,510251.81222020247,560000.0,560000.0,589593.8609113862,616241.43848882976,600401.9,670941.34379671514,600230.01577393,560000.0,658024.76440062711,600017.81777326285,570159.29165044241,600017.88068556285,580000.0,616130.13606981293,616000.13606981293,670000.0,600000.155850683,635652.273442096,589999.985247,642335.06176386424,666818.1635188855,663046.79226778552,672524.35387759842,672784.62174252863,672784.62174252863,801052.59493256966,560000.00001,604935.26939252636,560000.00001,529999.99603201,560000.00001,641538.07857475989,560000.00001,560000.00001,604545.93787111994,601582.81731046992,509998.6390649,549999.782779706,560000.00003,560000.00003,560000.00003,560000.00003,560000.00003,560000.00003,514911.111853172,522020.111853172,560000.00003,507409.9287274059,474427.26475627621,533288.61384610471,459838.63426898996,429595.18956805416,458340.58502854989,465000.0,453697.59593256959,560000.000065,560000.000065,493614.25448816927,500004.98986171215,450000.05008572643,450000.05008572643
17,435999.999076,435999.999076,457523.82085847249,449999.992824575,499999.994939,499999.994939,479635.7961325639,438822.80934746139,434946.444896219,445439.44557460904,438822.80934746139,435999.999076,445439.44557460904,470312.47678921267,510251.81222020247,500000.00413797091,529999.99602191,529999.99602191,589059.10380032193,600230.01477393,600230.01477393,664368.79826717172,572995.2432480423,550000.98312798131,560000.0,587845.23318715848,560000.0,580000.0,560000.0,580000.0,580000.0,600000.1460798129,560000.0,589999.985247,560000.00001,589999.985347,658069.12947841431,649551.0696633443,670941.3438067151,672524.35387759842,672524.35387759842,657334.13566666667,548536.48527387914,560000.00001,529999.99603201,502840.22441494453,529999.99603201,560000.00001,529999.99603201,529999.99603201,560000.00003,560000.00003,480286.58004059707,509998.6390649,460000.29046545719,532527.7114846271,552529.71148462722,555718.40993452317,552529.71148462722,529874.01146021555,450000.02066572645,450000.02066572645,450000.02066572645,475211.03721026814,450000.02066572645,486762.6168694814,450000.02066572645,429017.77686948143,450000.02266572649,463597.59593256959,450000.05008572643,462197.59593256959,500309.60410320136,491905.43300944852,465197.59593256959,411786.875,430057.0064451904
18,400439.99810877995,400439.99810877995,449999.992824575,438822.80934746139,457523.82085847249,499996.624980458,457523.82085847249,435999.999076,432991.82320613542,438822.80934746139,435999.999076,434946.444896219,438822.80934746139,466645.80853188544,499999.99693858303,466645.80853188544,510251.81222020247,526589.34874568263,560000.0,560000.0,582357.36788998626,600230.01577393,560000.0,550000.02,558116.69678392052,560000.0,558116.69678392052,573024.76440062711,558116.69678392052,560000.0,570500.95085138257,560000.0,558116.69678392052,560999.88511138258,558116.69679392059,560000.00001,590999.88511138258,614999.8851113827,662242.7992957799,670941.3438067151,670941.3438067151,656442.83217458986,529999.99603201,529999.99603201,494414.84232410375,483000.093637,483000.093637,529999.99603201,509998.6390649,509998.6390649,529999.99605201,509998.6390649,460000.29046545719,478886.580040597,450000.01966472546,460000.29046545719,505275.77947088768,476036.111853172,498363.111853172,514911.111853172,434999.79277980595,434999.79277980595,445187.21285595547,460500.37539595552,405067.96401879087,450000.02066572645,432834.90686948143,415835.296639107,407703.77686948143,450461.76999999996,430141.11946448992,450000.05008572643,462197.59593256959,465197.59593256959,450000.05008572643,384868.43678314437,420291.73862259096
19,399999.99895,399999.99895,438822.80934746139,435999.999076,449999.992824575,457523.82085847249,449999.992824575,434946.444896219,425000.1496,435999.999076,434946.444896219,400439.99810877995,435999.999076,464067.01945401914,466645.80853188544,465313.0894741501,488717.61355940264,480013.37839386746,550000.05452650611,539000.05452650611,575001.0,560000.0,550000.98312798131,529999.99602191,550000.98312798131,558116.69678392052,550000.98312798131,560000.0,552124.15491552255,558116.69678392052,560000.0,558116.69678392052,552124.15491552255,560000.00001,552124.15492552263,558116.69679392059,579999.98534700007,560000.00001,571311.16062391165,659442.83217459,657442.83217458986,560000.00001,493015.46048223431,483000.093637,483000.093637,456847.1280385495,460000.31093872682,484843.27023709071,483000.09505700006,486920.67244780844,509998.6390649,484799.99605201,450000.01966472546,471767.813,437527.20056762715,450000.02066572645,460000.29046545719,472529.71148462716,450000.02066572645,480001.228733001,400002.990965,392829.77583716053,434999.79277980595,450000.02066572645,399705.46714569791,447048.37230729731,411009.04519042186,379148.61316811916,349071.21727884276,450000.05008572643,420960.54898447823,394487.6371044899,450000.05008572643,450000.05008572643,435741.11148462712,330741.11148462712,411787.05100000004
20,399999.98085847253,399999.98085847253,435999.999076,416666.071671,438822.80934746139,449999.992824575,438822.80934746139,425000.1496,414950.99852863996,434946.444896219,400439.99810877995,391393.9730522426,434946.444896219,463241.79923941765,459996.55527045793,459996.50527045794,480013.37839386746,466645.80853188544,529999.99602191,529999.99602191,560000.0,529999.99602191,529999.99602191,500000.09647394595,550000.02,550000.98312798131,550000.02,558116.69678392052,550000.98312798131,552124.15491552255,558116.69678392052,552124.15491552255,550000.02,558116.69679392059,550999.88511138258,552124.15492552263,560000.00001,558116.69679392059,560000.00001,560000.00001,560000.00001,529999.99603201,483000.093637,470000.98534699995,470000.98874675308,450026.08678578911,450026.08678578911,483000.09505700006,474999.98950001,483000.09505700006,478795.59198121814,481424.580040597,425694.73952579283,460000.29046545719,421767.813,400001.22873300104,450000.02066572645,460000.29046545719,400001.22873300104,450000.02066572645,392829.77583716053,361165.132218518,382829.77583716047,412058.6390649,393899.79177980591,420727.69656112487,364899.79177980591,356374.775585073,333344.92483262892,430340.51509063988,414320.05434463732,384424.477,424684.894,449465.14,411786.56200000003,325001.91359527997,374868.43678314443
